Ticker,Company,Market Cap,Stock Price,% Change,Industry,Volume,PE Ratio,Change 1M
B8FK.DE,Biofrontera AG,14766775,2.37,-1.66%,Drug Manufacturers - Specialty & Generic,2514,37.1,-5.45%
GME.DE,Geratherm Medical AG,14882849,2.75,,Medical Devices,263,8.49,-1.79%
IUR.DE,KAP AG,14680694,2.02,6.88%,Conglomerates,4,-0.51,27.27%
FRS.DE,FORIS AG,14620102,3.28,2.50%,Credit Services,98,-106.67,-1.20%
RCMN.DE,RCM Beteiligungs AG,14296650,1.14,2.70%,Real Estate - Development,458,8.58,9.62%
KSC.DE,KPS AG,14115582,0.36,4.37%,Information Technology Services,3456,-0.65,-6.88%
KA8.DE,Klassik Radio AG,13992500,3.04,4.83%,Broadcasting,1424,18.44,
3330.DE,Rostra AG,11292275,2.56,,Asset Management,,,-0.78%
DTD2.DE,B+S Banksysteme Aktiengesellschaft,11829922,1.91,-2.56%,Software - Application,350,8.39,0.79%
ELB.DE,elumeo SE,11380646,1.92,-1.03%,Luxury Goods,665,-2.26,7.26%
C3RY.DE,Cherry SE,10991925,0.48,0.21%,Computer Hardware,83137,-0.21,-6.00%
CFC.DE,aconnic AG,10312400,0.64,-5.93%,Communication Equipment,67,-1.22,0.79%
SZ50.DE,Lübke Kelber AG,10399950,9.8,,Real Estate Services,0,,2.62%
EIF.DE,MedNation AG,10319577,3.7,,Hospitals,0,,4.52%
ERWE.DE,ERWE Immobilien AG,9923420,0.4,,Real Estate - Development,2000,-0.21,-9.01%
GTK.DE,Tonkens Agrar AG,9871050,5.95,1.71%,Farm Products,2,-16.08,
DGR.DE,Deutsche Grundstücksauktionen AG,9600000,5.85,-2.50%,Real Estate Services,900,-20.69,7.34%
SPM.DE,Splendid Medien AG,12139600,1.24,,Entertainment,26823,15.33,
HGEA.DE,hGears AG,9568000,0.95,3.26%,Auto Parts,4000,-0.34,-4.04%
TUF.DE,LIBERO Football Finance AG,10090000,0.24,5.36%,Engineering & Construction,250,-12.5,-13.85%
